level1,level2,level3,url
bebe,rutina del ba�o,jabon barra baby,https://www.larebajavirtual.com/catalogo/categoria/categoria/153
bebe,rutina del ba�o,jabon liquido baby,https://www.larebajavirtual.com/catalogo/categoria/categoria/154
bebe,rutina del ba�o,copitos,https://www.larebajavirtual.com/catalogo/categoria/categoria/155
bebe,rutina del ba�o,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/150
cuidado en casa,cuidado de la herida,botiquin,https://www.larebajavirtual.com/catalogo/categoria/categoria/803
cuidado en casa,cuidado de la herida,cubrimiento,https://www.larebajavirtual.com/catalogo/categoria/categoria/804
cuidado en casa,cuidado de la herida,fijacion,https://www.larebajavirtual.com/catalogo/categoria/categoria/805
cuidado en casa,cuidado de la herida,limpieza,https://www.larebajavirtual.com/catalogo/categoria/categoria/806
cuidado en casa,cuidado intimo,ducha intima,https://www.larebajavirtual.com/catalogo/categoria/categoria/808
cuidado en casa,equipos cuidado en casa,accesorios de salud,https://www.larebajavirtual.com/catalogo/categoria/categoria/769
cuidado en casa,equipos cuidado en casa,agujas para insulina,https://www.larebajavirtual.com/catalogo/categoria/categoria/770
cuidado en casa,equipos cuidado en casa,almohadas terapeuticas,https://www.larebajavirtual.com/catalogo/categoria/categoria/771
cuidado en casa,equipos cuidado en casa,ayudas sanitarias - comodos,https://www.larebajavirtual.com/catalogo/categoria/categoria/772
cuidado en casa,equipos cuidado en casa,balanzas,https://www.larebajavirtual.com/catalogo/categoria/categoria/773
cuidado en casa,equipos cuidado en casa,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/768
cuidado en casa,fisioterapia y deportes,fisioterapia y fitness,https://www.larebajavirtual.com/catalogo/categoria/categoria/786
cuidado en casa,productos hospitalarios,inhalocamaras y dispositivos,https://www.larebajavirtual.com/catalogo/categoria/categoria/810
cuidado en casa,proteccion quirurgica y hospitalaria,guantes de cirugia,https://www.larebajavirtual.com/catalogo/categoria/categoria/788
cuidado en casa,proteccion quirurgica y hospitalaria,insumo medico quirurgico,https://www.larebajavirtual.com/catalogo/categoria/categoria/789
cuidado en casa,proteccion quirurgica y hospitalaria,prendas quirurgicas,https://www.larebajavirtual.com/catalogo/categoria/categoria/790
cuidado en casa,proteccion quirurgica y hospitalaria,tapabocas,https://www.larebajavirtual.com/catalogo/categoria/categoria/791
cuidado en casa,rehabilitacion,accesorios ortopedicos,https://www.larebajavirtual.com/catalogo/categoria/categoria/793
cuidado en casa,rehabilitacion,cojines y colchones terapeuticos,https://www.larebajavirtual.com/catalogo/categoria/categoria/794
cuidado en casa,rehabilitacion,cuidado del oido,https://www.larebajavirtual.com/catalogo/categoria/categoria/795
cuidado en casa,rehabilitacion,cuidado del pie,https://www.larebajavirtual.com/catalogo/categoria/categoria/796
cuidado en casa,rehabilitacion,fajas,https://www.larebajavirtual.com/catalogo/categoria/categoria/797
cuidado en casa,terapia y recuperacion,compresas,https://www.larebajavirtual.com/catalogo/categoria/categoria/799
cuidado en casa,terapia y recuperacion,cuidado de cicatrices,https://www.larebajavirtual.com/catalogo/categoria/categoria/800
cuidado en casa,terapia y recuperacion,terapia frio calor,https://www.larebajavirtual.com/catalogo/categoria/categoria/801
cuidado personal,aseo personal,desodorantes,https://www.larebajavirtual.com/catalogo/categoria/categoria/79
cuidado personal,aseo personal,gel antibacterial,https://www.larebajavirtual.com/catalogo/categoria/categoria/80
cuidado personal,aseo personal,jabones,https://www.larebajavirtual.com/catalogo/categoria/categoria/81
cuidado personal,aseo personal,pa�uelos faciales,https://www.larebajavirtual.com/catalogo/categoria/categoria/82
cuidado personal,aseo personal,proteccion pies,https://www.larebajavirtual.com/catalogo/categoria/categoria/83
cuidado personal,cuidado capilar,acondicionador,https://www.larebajavirtual.com/catalogo/categoria/categoria/85
cuidado personal,cuidado capilar,alisadoras,https://www.larebajavirtual.com/catalogo/categoria/categoria/86
cuidado personal,cuidado capilar,coloracion,https://www.larebajavirtual.com/catalogo/categoria/categoria/87
cuidado personal,cuidado capilar,cremas de peinar,https://www.larebajavirtual.com/catalogo/categoria/categoria/88
cuidado personal,cuidado capilar,fijacion,https://www.larebajavirtual.com/catalogo/categoria/categoria/89
cuidado personal,cuidado capilar,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/84
